0         3M                                      94    MAPLEWOOD           MN   55144     91584     
1         A-MARK PRECIOUS METALS                  395   PHILADELPHIA        PA   19107     83000     
2         ABBOTT LABORATORIES                     135   SANTA MONICA        CA   90401     75000     
3         ABBVIE                                  111   NORTH CHICAGO       IL   60064     30000     
4         ABM INDUSTRIES                          500   NEW YORK            NY   10176     110000    
5         ACTIVISION BLIZZARD                     406   SANTA MONICA        CA   90405     9500      
6         ADOBE SYSTEMS                           443   MCLEAN              VA   22102     15706     
7         ADP                                     240   ROSELAND            NJ   7068      57000     
8         ADVANCE AUTO PARTS                      292   ROANOKE             VA   24012     57500     
9         AECOM                                   161   LOS ANGELES         CA   90067     87000     
10        AES                                     194   ARLINGTON           VA   22203     19000     
11        AETNA                                   43    HARTFORD            CT   6156      49500     
12        AFLAC                                   126   COLUMBUS            GA   31999     10212     
13        AGCO                                    370   DULUTH              GA   30096     19795     
14        AIG                                     55    NEW YORK            NY   10038     56400     
15        AIR PRODUCTS & CHEMICALS                294   ALLENTOWN           PA   18195     18450     
16        AIRGAS                                  489   RADNOR              PA   19087     17000     
17        AK STEEL HOLDING                        441   WEST CHESTER        OH   45069     8500      
18        ALASKA AIR GROUP                        438   SEATTLE             WA   98188     19112     
19        ALBERTSONS COS.                         49    BOISE               ID   83706     274000    
20        ALCOA                                   300   NEW YORK            NY   10022     14000     
21        ALLEGHANY                               428   NEW YORK            NY   10036     3420      
22        ALLIANCE DATA SYSTEMS                   378   PLANO               TX   75024     17000     
23        ALLSTATE                                84    NORTHBROOK          IL   60062     43275     
24        ALLY FINANCIAL                          286   DETROIT             MI   48226     7600      
25        ALPHABET                                27    MOUNTAIN VIEW       CA   94043     72053     
26        ALTRIA GROUP                            148   RICHMOND            VA   23230     8300      
27        AMAZON.COM                              12    SEATTLE             WA   98109     341400    
28        AMEREN                                  431   SAINT LOUIS         MO   63103     8629      
29        AMERICAN AIRLINES GROUP                 67    FORT WORTH          TX   76155     122300    
30        AMERICAN ELECTRIC POWER                 167   COLUMBUS            OH   43215     17634     
